player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Hwang In-beom,0,0,4.0,0,0,194.0,276.0,6,0,4.0,7,0.0,0,2.0,Korea Republic
Hwang Ui-jo,0,0,1.0,0,0,9.0,18.0,1,0,0.0,0,0.0,0,1.0,Korea Republic
Héctor Herrera,0,0,2.0,1,0,64.0,91.0,0,0,4.0,4,1.0,0,0.0,Mexico
Héctor Moreno,0,0,3.0,1,0,165.0,210.0,1,0,2.0,3,1.0,0,4.0,Mexico
Ibrahima Konaté,0,0,3.0,0,0,216.0,283.0,2,0,15.0,2,2.0,0,16.0,France
Idrissa Gana Gueye,0,0,3.0,2,0,107.0,155.0,4,0,2.0,4,5.0,0,3.0,Senegal
Ilias Chair,0,0,,0,0,13.0,18.0,0,0,1.0,0,1.0,0,0.0,Morocco
Iliman Ndiaye,0,1,2.0,0,0,25.0,44.0,2,0,0.0,0,3.0,0,0.0,Senegal
Ismail Jakobs,0,1,3.0,1,0,107.0,184.0,1,0,0.0,3,1.0,0,14.0,Senegal
Ismail Mohamad,0,1,2.0,1,0,,,2,1,,1,,0,,Qatar
Ismaila Sarr,1,0,4.0,0,0,52.0,133.0,10,3,4.0,3,5.0,0,1.0,Senegal
Ismaël Koné,0,0,,0,0,96.0,103.0,0,0,0.0,0,0.0,0,0.0,Canada
Issam Jebali,0,0,2.0,0,0,25.0,60.0,3,1,3.0,10,7.0,0,3.0,Tunisia
Ivan Ilić,0,0,,0,0,19.0,23.0,0,0,0.0,0,1.0,0,0.0,Serbia
Ivan Perišić,1,3,7.0,0,0,202.0,378.0,16,3,7.0,10,5.0,0,12.0,Croatia
Iñaki Williams,0,0,3.0,0,0,29.0,63.0,2,1,4.0,4,5.0,0,2.0,Ghana
Jack Grealish,1,0,,0,0,48.0,71.0,1,0,3.0,0,0.0,0,1.0,England
Jackson Irvine,0,0,4.0,2,0,103.0,170.0,3,0,4.0,7,6.0,0,8.0,Australia
Jackson Porozo,0,0,1.0,0,0,39.0,58.0,1,1,2.0,1,2.0,0,4.0,Ecuador
Jakub Kamiński,0,0,2.0,0,0,37.0,88.0,4,0,6.0,5,6.0,0,2.0,Poland
Jakub Kiwior,0,0,4.0,1,0,174.0,236.0,1,0,2.0,1,1.0,0,15.0,Poland
Jamal Musiala,0,1,3.0,0,0,85.0,163.0,12,1,1.0,1,16.0,0,0.0,Germany
Jamie Maclaren,0,0,,0,0,7.0,15.0,0,0,0.0,1,1.0,0,0.0,Australia
Jan Bednarek,0,0,,0,0,6.0,6.0,0,0,0.0,0,0.0,0,0.0,Poland
Jan Vertonghen,0,0,3.0,0,0,238.0,290.0,2,0,0.0,0,0.0,0,12.0,Belgium
Jason Cummings,0,0,,0,0,4.0,9.0,0,0,0.0,0,0.0,0,0.0,Australia
Jawad El Yamiq,0,0,3.0,0,0,146.0,202.0,2,0,4.0,1,0.0,0,17.0,Morocco
Jean-Charles Castelletto,1,1,2.0,0,0,66.0,109.0,1,0,3.0,1,0.0,0,12.0,Cameroon
Jeong Woo-yeong,0,0,1.0,0,0,12.0,20.0,1,0,0.0,1,0.0,0,1.0,Korea Republic
Jeremy Doku,0,0,,0,0,8.0,16.0,0,0,0.0,0,0.0,0,0.0,Belgium
Jeremy Sarmiento,0,0,,0,0,23.0,44.0,1,1,2.0,2,1.0,0,0.0,Ecuador
Jerome Ngom Mbekeli,0,0,,0,0,1.0,4.0,0,0,0.0,0,1.0,0,1.0,Cameroon
Jesper Lindstrøm,0,0,2.0,0,0,36.0,81.0,3,0,1.0,4,1.0,0,1.0,Denmark
Jesús Ferreira,0,0,1.0,0,0,16.0,24.0,0,0,1.0,0,1.0,0,0.0,United States
Jesús Gallardo,0,0,3.0,0,0,93.0,167.0,1,0,9.0,4,0.0,0,10.0,Mexico
Jewison Bennette,0,0,1.0,0,0,11.0,29.0,1,2,0.0,0,1.0,0,0.0,Costa Rica
Jhegson Méndez,0,0,2.0,2,0,128.0,150.0,0,0,2.0,3,1.0,0,1.0,Ecuador
Joachim Andersen,0,1,3.0,0,0,198.0,281.0,4,0,4.0,3,1.0,0,12.0,Denmark
Joakim Mæhle,0,0,3.0,0,0,119.0,185.0,2,0,9.0,1,2.0,0,6.0,Denmark
Joe Allen,0,0,1.0,0,0,30.0,51.0,2,0,1.0,0,0.0,0,4.0,Wales
Joe Morrell,0,0,,0,0,12.0,24.0,0,0,3.0,1,1.0,0,0.0,Wales
Joe Rodon,0,0,3.0,1,0,152.0,192.0,0,0,2.0,3,0.0,0,13.0,Wales
Joel Campbell,0,0,3.0,1,0,104.0,179.0,1,3,9.0,3,8.0,0,4.0,Costa Rica
Johan Venegas,0,0,1.0,0,0,11.0,21.0,0,2,0.0,1,0.0,0,2.0,Costa Rica
John Stones,0,0,5.0,0,0,435.0,475.0,4,0,2.0,4,0.0,0,8.0,England
Jonas Hofmann,0,0,,0,0,16.0,24.0,1,0,0.0,0,2.0,0,0.0,Germany
Jonathan David,0,0,2.0,0,0,41.0,84.0,8,0,1.0,0,2.0,0,0.0,Canada
Jonathan Osorio,0,0,1.0,1,0,52.0,68.0,1,0,2.0,1,2.0,0,1.0,Canada
Jordan Ayew,0,1,2.0,0,0,35.0,68.0,1,0,3.0,2,4.0,0,1.0,Ghana
Jordan Henderson,1,0,3.0,0,0,137.0,179.0,2,0,4.0,5,1.0,0,0.0,England
Jordan Pickford,0,0,5.0,0,0,126.0,169.0,0,0,0.0,0,0.0,0,2.0,England
Jordan Veretout,0,0,1.0,0,0,33.0,43.0,0,0,2.0,2,1.0,0,2.0,France
Jordi Alba,0,2,3.0,0,0,328.0,392.0,2,1,6.0,4,0.0,0,2.0,Spain
Jorge Eduardo Sánchez,0,0,2.0,1,0,69.0,113.0,1,2,1.0,5,4.0,0,8.0,Mexico
Josh Sargent,0,0,2.0,0,0,29.0,48.0,4,0,0.0,2,4.0,0,0.0,United States
Joshua Kimmich,0,0,3.0,1,0,226.0,301.0,7,0,5.0,2,3.0,0,1.0,Germany
Josip Juranović,0,1,6.0,0,0,318.0,450.0,1,0,12.0,1,4.0,0,15.0,Croatia
Josip Stanišić,0,0,1.0,0,0,36.0,56.0,1,0,3.0,1,0.0,0,0.0,Croatia
Josip Šutalo,0,0,1.0,0,0,62.0,73.0,0,0,0.0,0,0.0,0,5.0,Croatia
José Cifuentes,0,0,,0,0,33.0,52.0,1,0,2.0,3,1.0,0,1.0,Ecuador
José María Giménez,0,0,3.0,1,0,141.0,213.0,3,1,4.0,4,1.0,0,11.0,Uruguay
João Cancelo,0,0,3.0,0,0,221.0,311.0,2,1,7.0,2,1.0,0,8.0,Portugal
João Félix,1,2,4.0,1,0,91.0,153.0,11,1,4.0,8,0.0,0,1.0,Portugal
João Mário,0,0,1.0,0,0,37.0,52.0,0,0,2.0,0,0.0,0,0.0,Portugal
João Palhinha,0,0,,0,0,26.0,41.0,1,0,2.0,2,1.0,0,1.0,Portugal
Joško Gvardiol,1,0,7.0,0,0,464.0,601.0,2,0,9.0,8,2.0,0,37.0,Croatia
Juan Foyth,0,0,,0,0,3.0,5.0,0,0,0.0,0,0.0,0,0.0,Argentina
Juan Pablo Vargas,1,0,1.0,0,0,19.0,41.0,2,0,4.0,0,0.0,0,10.0,Costa Rica
Jude Bellingham,1,1,5.0,0,0,235.0,324.0,5,0,16.0,5,6.0,0,0.0,England
Jules Koundé,0,0,5.0,1,0,252.0,352.0,4,0,11.0,5,2.0,0,8.0,France
Julián Álvarez,4,0,5.0,0,0,93.0,174.0,11,5,4.0,13,7.0,0,3.0,Argentina
Jung Woo-young,0,0,4.0,2,0,178.0,239.0,1,0,5.0,11,2.0,0,7.0,Korea Republic
Junior Hoilett,0,0,2.0,1,0,43.0,78.0,4,1,8.0,1,2.0,0,0.0,Canada
Junya Ito,0,1,3.0,0,0,59.0,134.0,2,1,7.0,0,3.0,0,6.0,Japan
Jurriën Timber,0,0,4.0,1,0,283.0,361.0,0,0,12.0,17,2.0,0,13.0,Netherlands
Kai Havertz,2,0,1.0,0,0,27.0,46.0,5,3,1.0,3,0.0,0,0.0,Germany
Kalidou Koulibaly,1,0,4.0,1,0,156.0,260.0,2,0,12.0,3,1.0,0,30.0,Senegal
Kalvin Phillips,0,1,,0,0,17.0,20.0,0,0,0.0,1,0.0,0,1.0,England
Kamal Miller,0,0,3.0,1,0,186.0,229.0,0,0,6.0,0,1.0,0,11.0,Canada
Kamaldeen Sulemana,0,0,,1,0,10.0,28.0,1,0,0.0,2,1.0,0,2.0,Ghana
Kamil Glik,0,0,4.0,0,0,118.0,167.0,3,0,2.0,2,0.0,0,23.0,Poland
Kaoru Mitoma,0,1,,0,0,50.0,100.0,1,0,7.0,3,2.0,0,5.0,Japan
Karim Ansarifard,0,0,,0,0,4.0,11.0,1,1,0.0,0,1.0,0,0.0,IR Iran
Karim Boudiaf,0,0,2.0,1,0,94.0,122.0,0,0,2.0,2,2.0,0,3.0,Qatar
Karl Toko Ekambi,0,0,2.0,0,0,43.0,66.0,2,0,1.0,0,4.0,0,0.0,Cameroon
Karol Świderski,0,0,1.0,0,0,7.0,14.0,0,0,4.0,0,0.0,0,0.0,Poland
Kasper Dolberg,0,0,1.0,0,0,15.0,34.0,3,1,1.0,2,4.0,0,1.0,Denmark
Kasper Schmeichel,0,0,3.0,0,0,72.0,91.0,0,0,0.0,0,0.0,0,0.0,Denmark
Keanu Baccus,0,0,1.0,0,0,26.0,59.0,1,0,1.0,4,2.0,0,1.0,Australia
Kellyn Acosta,0,0,,1,0,10.0,16.0,0,0,3.0,1,0.0,0,0.0,United States
Kendall Waston,0,0,2.0,0,0,57.0,107.0,1,0,7.0,1,1.0,0,14.0,Costa Rica
Kenneth Taylor,0,0,,0,0,8.0,9.0,0,0,0.0,0,0.0,0,0.0,Netherlands
Kevin De Bruyne,0,0,3.0,0,0,93.0,163.0,7,0,1.0,0,4.0,0,3.0,Belgium
Kevin Álvarez,0,0,1.0,0,0,19.0,38.0,0,0,1.0,0,1.0,0,2.0,Mexico
Keylor Navas,0,0,3.0,0,0,61.0,114.0,0,0,1.0,0,0.0,0,2.0,Costa Rica
Keysher Fuller,1,0,3.0,0,0,44.0,92.0,3,2,4.0,2,1.0,0,9.0,Costa Rica
Kieffer Moore,0,0,2.0,0,0,36.0,95.0,6,1,1.0,5,3.0,0,7.0,Wales
Kieran Trippier,0,0,2.0,0,0,165.0,205.0,1,0,6.0,1,1.0,0,4.0,England
Kim Jin-su,0,1,4.0,0,0,105.0,175.0,4,1,10.0,1,0.0,0,5.0,Korea Republic
Kim Min-jae,0,0,3.0,0,0,167.0,213.0,2,0,2.0,0,0.0,0,8.0,Korea Republic
Kim Moonhwan,0,0,4.0,0,0,201.0,289.0,0,0,9.0,1,2.0,0,16.0,Korea Republic
Kim Seung-gyu,0,0,4.0,0,0,93.0,139.0,0,0,0.0,0,0.0,0,2.0,Korea Republic
Kim Young-gwon,1,0,4.0,1,0,178.0,232.0,2,0,3.0,1,0.0,0,11.0,Korea Republic
Kingsley Coman,0,0,1.0,0,0,56.0,102.0,1,0,3.0,1,7.0,0,1.0,France
Ko Itakura,0,1,3.0,2,0,98.0,150.0,3,0,9.0,5,1.0,0,16.0,Japan
Koke,0,0,,0,0,56.0,68.0,0,0,1.0,0,0.0,0,0.0,Spain
Krystian Bielik,0,0,2.0,0,0,86.0,129.0,2,0,5.0,5,3.0,0,6.0,Poland
Krzysztof Piątek,0,0,,0,0,2.0,9.0,1,0,0.0,0,1.0,0,0.0,Poland
Krépin Diatta,0,0,3.0,0,0,60.0,88.0,3,2,0.0,4,7.0,0,0.0,Senegal
Kudus Mohammed,2,0,3.0,1,0,62.0,118.0,8,1,5.0,3,6.0,0,0.0,Ghana
Kwon Chang-hoon,0,0,1.0,0,0,19.0,28.0,0,0,1.0,0,1.0,0,0.0,Korea Republic
Kwon Kyung-won,0,0,1.0,0,0,39.0,53.0,1,0,0.0,0,0.0,0,5.0,Korea Republic
Kye Rowles,0,0,4.0,0,0,165.0,231.0,0,0,8.0,1,0.0,0,16.0,Australia
Kyle Walker,0,0,3.0,0,0,162.0,198.0,0,0,3.0,3,0.0,0,3.0,England
Kylian Mbappé,8,2,6.0,0,0,173.0,325.0,29,6,0.0,7,10.0,0,0.0,France
Lautaro Martínez,0,0,2.0,0,0,46.0,96.0,14,5,0.0,1,6.0,0,0.0,Argentina
Lawrence Ati-Zigi,0,0,3.0,0,0,54.0,87.0,0,0,0.0,0,0.0,0,0.0,Ghana
Leander Dendoncker,0,0,2.0,1,0,119.0,142.0,1,0,6.0,3,1.0,0,5.0,Belgium
Leandro Paredes,0,0,2.0,2,0,230.0,269.0,1,0,10.0,6,0.0,0,4.0,Argentina
Leandro Trossard,0,0,1.0,0,0,43.0,66.0,0,0,1.0,0,1.0,0,0.0,Belgium
Lee Jae-sung,0,0,3.0,0,0,84.0,116.0,1,0,5.0,2,0.0,0,2.0,Korea Republic
Lee Kangin,0,1,1.0,1,0,62.0,91.0,5,0,4.0,2,3.0,0,0.0,Korea Republic
Leon Goretzka,0,0,2.0,1,0,42.0,72.0,4,0,5.0,4,2.0,0,0.0,Germany
Leroy Sané,0,1,1.0,0,0,47.0,68.0,3,0,1.0,0,3.0,0,1.0,Germany
Liam Millar,0,0,,0,0,4.0,9.0,0,0,0.0,1,0.0,0,0.0,Canada
Lionel Messi,7,3,7.0,1,0,301.0,460.0,27,3,5.0,10,24.0,0,0.0,Argentina
Lisandro Martínez,0,0,2.0,1,0,133.0,188.0,1,0,6.0,2,0.0,0,14.0,Argentina
Lovro Majer,1,0,1.0,0,0,78.0,122.0,4,0,3.0,5,6.0,0,2.0,Croatia
Loïs Openda,0,0,,0,0,3.0,9.0,0,0,1.0,0,0.0,0,0.0,Belgium
Lucas Cavallini,0,0,,0,0,2.0,3.0,0,0,0.0,1,0.0,0,0.0,Canada
Lucas Hernández,0,0,1.0,0,0,5.0,10.0,0,0,1.0,0,0.0,0,0.0,France
Lucas Paquetá,1,1,4.0,0,0,169.0,229.0,4,0,7.0,4,4.0,0,4.0,Brazil
Luis Chávez,1,0,3.0,0,0,99.0,171.0,10,0,1.0,3,2.0,0,3.0,Mexico
Luis Suárez,0,1,2.0,1,0,25.0,52.0,2,1,1.0,0,0.0,0,2.0,Uruguay
Luka Jović,0,0,,1,0,6.0,14.0,2,0,0.0,1,1.0,0,0.0,Serbia
Luka Modrić,0,0,7.0,1,0,465.0,615.0,6,1,16.0,13,7.0,0,3.0,Croatia
Lukas Klostermann,0,0,,0,0,51.0,56.0,0,0,3.0,1,0.0,0,1.0,Germany
Luke Shaw,0,1,5.0,0,0,335.0,419.0,3,0,3.0,5,2.0,0,5.0,England
Luuk de Jong,0,0,,0,0,8.0,19.0,1,1,2.0,1,2.0,0,1.0,Netherlands
Majid Hosseini,0,0,3.0,1,0,86.0,137.0,0,1,7.0,4,1.0,0,11.0,IR Iran
Manuel Akanji,1,0,4.0,1,0,229.0,287.0,4,0,4.0,4,1.0,0,12.0,Switzerland
Manuel Neuer,0,0,3.0,0,0,115.0,133.0,0,0,0.0,0,0.0,0,0.0,Germany
Marcelo Brozović,0,0,6.0,1,0,466.0,594.0,4,0,13.0,12,8.0,0,7.0,Croatia
Marco Asensio,1,0,3.0,0,0,89.0,150.0,10,0,1.0,3,3.0,0,0.0,Spain
Marcos Acuña,0,0,4.0,3,0,167.0,269.0,2,0,12.0,9,4.0,0,9.0,Argentina
Marcos Llorente,0,0,1.0,0,0,95.0,107.0,1,0,0.0,0,0.0,0,0.0,Spain
Marcus Rashford,3,0,1.0,0,0,49.0,92.0,11,1,1.0,1,1.0,0,1.0,England
Marcus Thuram,0,2,,1,0,27.0,74.0,1,1,3.0,3,4.0,0,2.0,France
Mario Götze,0,0,,0,0,21.0,31.0,1,0,1.0,0,0.0,0,0.0,Germany
Mario Pašalić,0,0,2.0,0,0,76.0,132.0,3,2,7.0,4,3.0,0,3.0,Croatia
Mark-Anthony Kaye,0,0,1.0,0,0,51.0,68.0,1,0,2.0,1,0.0,0,0.0,Canada
Marko Grujić,0,0,,0,0,14.0,20.0,1,0,1.0,0,0.0,0,1.0,Serbia
Marko Livaja,1,1,3.0,0,0,35.0,83.0,6,1,2.0,6,2.0,0,1.0,Croatia
Marquinhos,0,0,4.0,1,0,352.0,392.0,2,0,5.0,1,0.0,0,6.0,Brazil
Marten de Roon,0,0,3.0,0,0,97.0,142.0,0,0,7.0,3,0.0,0,6.0,Netherlands
Martin Braithwaite,0,0,1.0,0,0,14.0,24.0,1,2,0.0,0,1.0,0,0.0,Denmark
Martin Hongla,0,0,2.0,0,0,49.0,73.0,1,1,0.0,1,0.0,0,3.0,Cameroon
Martinelli,0,0,1.0,0,0,34.0,70.0,4,1,2.0,2,2.0,0,1.0,Brazil
Martín Cáceres,0,0,1.0,1,0,68.0,83.0,0,0,0.0,1,0.0,0,2.0,Uruguay
Mason Mount,0,0,2.0,0,0,61.0,91.0,4,0,2.0,7,2.0,0,0.0,England
Mateo Kovačić,0,0,7.0,2,0,415.0,521.0,3,0,24.0,3,7.0,0,5.0,Croatia
Matheus Nunes,0,0,1.0,0,0,28.0,39.0,1,0,0.0,2,1.0,0,0.0,Portugal
Mathew Leckie,1,1,4.0,0,0,67.0,157.0,1,0,4.0,8,7.0,0,6.0,Australia
Mathew Ryan,0,0,4.0,0,0,113.0,176.0,0,0,0.0,0,0.0,0,6.0,Australia
Mathias Jensen,0,0,1.0,1,0,52.0,76.0,2,0,1.0,2,0.0,0,0.0,Denmark
Mathías Olivera,0,0,3.0,1,0,104.0,178.0,2,0,9.0,2,2.0,0,10.0,Uruguay
Matt Turner,0,0,4.0,0,0,101.0,137.0,0,0,0.0,0,0.0,0,1.0,United States
Matthijs de Ligt,0,0,1.0,1,0,41.0,49.0,0,0,0.0,4,1.0,0,4.0,Netherlands
Matty Cash,0,0,4.0,2,0,123.0,197.0,1,0,4.0,7,2.0,0,17.0,Poland
Mattéo Guendouzi,0,0,1.0,0,0,27.0,36.0,0,0,1.0,0,1.0,0,0.0,France
Matías Vecino,0,0,2.0,0,0,76.0,130.0,1,0,4.0,4,1.0,0,1.0,Uruguay
Matías Viña,0,0,,0,0,11.0,26.0,0,0,4.0,1,1.0,0,0.0,Uruguay
Maxi Gómez,0,0,,0,0,5.0,9.0,2,0,0.0,1,0.0,0,0.0,Uruguay
Maya Yoshida,0,1,4.0,1,0,198.0,277.0,0,0,4.0,3,1.0,0,24.0,Japan
Mehdi Taremi,2,1,3.0,0,0,58.0,123.0,5,1,4.0,5,5.0,0,3.0,IR Iran
Mehdi Torabi,0,0,,0,0,30.0,48.0,2,0,1.0,0,0.0,0,0.0,IR Iran
Memphis,1,0,3.0,1,0,93.0,165.0,10,1,1.0,1,7.0,0,0.0,Netherlands
Meshaal Barsham,0,0,2.0,0,0,45.0,69.0,0,0,0.0,0,0.0,0,1.0,Qatar
Michael Estrada,0,0,3.0,0,0,28.0,71.0,3,2,1.0,6,2.0,0,0.0,Ecuador
Michał Skóraś,0,0,,0,0,8.0,12.0,1,0,0.0,1,0.0,0,0.0,Poland
Michel Aebischer,0,0,,0,0,2.0,4.0,0,0,0.0,0,0.0,0,0.0,Switzerland
Michy Batshuayi,1,0,2.0,0,0,16.0,42.0,6,2,1.0,5,4.0,0,0.0,Belgium
Miki Yamane,0,0,1.0,1,0,24.0,36.0,0,0,1.0,2,0.0,0,0.0,Japan
Mikkel Damsgaard,0,0,1.0,0,0,55.0,91.0,0,1,4.0,2,2.0,0,1.0,Denmark
Milad Mohammadi,0,0,3.0,0,0,44.0,90.0,0,0,10.0,2,2.0,0,6.0,IR Iran
Milan Borjan,0,0,3.0,0,0,76.0,105.0,0,0,0.0,0,0.0,0,2.0,Canada
Miloš Degenek,0,0,2.0,2,0,67.0,123.0,0,0,6.0,2,1.0,0,9.0,Australia
Miloš Veljković,0,0,3.0,0,0,98.0,127.0,0,0,4.0,1,0.0,0,7.0,Serbia
Mislav Oršić,1,2,1.0,0,0,40.0,81.0,9,1,3.0,3,0.0,0,1.0,Croatia
Mitchell Duke,1,0,4.0,1,0,36.0,96.0,7,1,0.0,6,1.0,0,1.0,Australia
Mohamed Ali Ben Romdhane,0,0,1.0,0,0,14.0,31.0,0,0,5.0,1,5.0,0,0.0,Tunisia
Mohamed Dräger,0,0,2.0,0,0,36.0,70.0,4,0,5.0,2,0.0,0,4.0,Tunisia
Mohamed Kanno,0,0,3.0,0,0,119.0,184.0,6,1,6.0,8,1.0,0,7.0,Saudi Arabia
Mohammed Al-Breik,0,0,1.0,0,0,39.0,57.0,2,0,1.0,0,0.0,0,4.0,Saudi Arabia
Mohammed Al-Owais,0,0,3.0,1,0,57.0,113.0,0,0,0.0,0,0.0,0,4.0,Saudi Arabia
Mohammed Muntari,1,0,,0,0,17.0,28.0,3,0,2.0,1,0.0,0,2.0,Qatar
Mohammed Salisu,1,0,3.0,0,0,109.0,184.0,2,0,2.0,6,1.0,0,17.0,Ghana
Mohammed Waad,0,0,,0,0,9.0,16.0,0,0,0.0,1,0.0,0,1.0,Qatar
Moisés Caicedo,1,0,3.0,1,0,126.0,173.0,3,0,6.0,4,1.0,0,2.0,Ecuador
Montassar Talbi,0,0,3.0,0,0,118.0,177.0,1,0,2.0,4,1.0,0,18.0,Tunisia
Morteza Pouraliganji,0,0,3.0,1,0,92.0,156.0,2,0,2.0,5,0.0,0,10.0,IR Iran
Moumi Ngamaleu,0,0,1.0,0,0,21.0,34.0,0,0,3.0,3,3.0,0,0.0,Cameroon
Munir,0,0,1.0,0,0,19.0,31.0,0,0,0.0,0,0.0,0,0.0,Morocco
Musab Kheder,0,0,,0,0,3.0,5.0,0,0,1.0,0,0.0,0,0.0,Qatar
Na Sang-ho,0,0,1.0,0,0,24.0,60.0,1,0,4.0,2,4.0,0,2.0,Korea Republic
Nader Ghandri,0,0,1.0,0,0,27.0,45.0,0,1,2.0,0,0.0,0,4.0,Tunisia
Nahuel Molina,1,1,6.0,0,0,291.0,398.0,2,1,8.0,3,3.0,0,11.0,Argentina
Nampalys Mendy,0,0,3.0,1,0,141.0,182.0,2,0,4.0,5,0.0,0,3.0,Senegal
Nasser Al-Dawsari,0,0,,0,0,11.0,13.0,0,0,2.0,1,1.0,0,0.0,Saudi Arabia
Nathan Aké,0,0,5.0,1,0,315.0,393.0,0,0,6.0,4,0.0,0,20.0,Netherlands
Nathaniel Atkinson,0,0,1.0,0,0,27.0,43.0,0,0,4.0,0,3.0,0,2.0,Australia
Nawaf Al Abed,0,0,,1,0,33.0,51.0,2,0,0.0,2,5.0,0,0.0,Saudi Arabia
Nayef Aguerd,0,0,4.0,0,0,137.0,185.0,1,1,4.0,2,0.0,1,12.0,Morocco
Naïm Sliti,0,0,1.0,0,0,29.0,67.0,1,2,3.0,0,1.0,0,1.0,Tunisia
Neco Williams,0,0,3.0,0,0,69.0,138.0,3,0,5.0,3,2.0,0,5.0,Wales
Nemanja Gudelj,0,0,1.0,2,0,44.0,59.0,0,0,2.0,3,2.0,0,1.0,Serbia
Nemanja Maksimović,0,0,1.0,0,0,50.0,75.0,0,0,4.0,0,1.0,0,3.0,Serbia
Nemanja Radonjić,0,0,,0,0,15.0,36.0,2,0,0.0,0,1.0,0,1.0,Serbia
Neymar,2,0,3.0,0,0,121.0,203.0,11,2,1.0,4,12.0,0,0.0,Brazil
Niclas Füllkrug,2,1,,0,0,15.0,38.0,8,0,0.0,0,0.0,0,0.0,Germany
Nico Elvedi,0,0,2.0,1,0,131.0,165.0,1,0,2.0,3,0.0,0,13.0,Switzerland
Nico Schlotterbeck,0,0,1.0,0,0,110.0,135.0,0,0,4.0,1,1.0,0,1.0,Germany
Nico Williams,0,0,1.0,0,0,50.0,88.0,1,1,4.0,0,2.0,0,0.0,Spain
Nicola Zalewski,0,0,1.0,0,0,15.0,29.0,0,0,4.0,1,1.0,0,0.0,Poland
Nicolas Jackson,0,0,,0,0,9.0,11.0,0,0,0.0,1,0.0,0,0.0,Senegal
Nicolas Nkoulou,0,1,2.0,1,0,79.0,115.0,3,0,2.0,2,0.0,0,8.0,Cameroon
Nicolás De La Cruz,0,0,,0,0,20.0,28.0,1,0,0.0,0,1.0,0,0.0,Uruguay
Nicolás Otamendi,0,1,7.0,2,0,532.0,639.0,1,1,10.0,13,1.0,0,24.0,Argentina
Nicolás Tagliafico,0,0,3.0,0,0,145.0,220.0,3,1,7.0,6,1.0,0,9.0,Argentina
Niklas Süle,0,0,3.0,0,0,231.0,268.0,1,0,5.0,0,1.0,0,7.0,Germany
Nikola Milenković,0,0,3.0,2,0,141.0,198.0,3,0,10.0,8,0.0,0,10.0,Serbia
Nikola Vlašić,0,0,1.0,0,0,45.0,80.0,5,0,1.0,4,6.0,0,0.0,Croatia
Noa Lang,0,0,,1,0,1.0,5.0,0,0,0.0,0,0.0,0,1.0,Netherlands
Noah Okafor,0,0,,0,0,17.0,29.0,1,1,0.0,2,1.0,0,0.0,Switzerland
Nouhou Tolo,0,0,3.0,1,0,83.0,145.0,0,0,8.0,3,0.0,0,10.0,Cameroon
Noussair Mazraoui,0,0,5.0,0,0,98.0,175.0,4,1,14.0,3,1.0,0,16.0,Morocco
Nuno Mendes,0,0,1.0,0,0,29.0,36.0,0,0,0.0,0,0.0,0,0.0,Portugal
Néstor Araujo,0,0,1.0,1,0,44.0,62.0,0,0,1.0,2,1.0,0,1.0,Mexico
Olivier Giroud,4,0,6.0,1,0,48.0,111.0,16,3,1.0,2,1.0,0,5.0,France
Olivier Ntcham,0,0,,0,0,11.0,14.0,1,0,0.0,0,0.0,0,1.0,Cameroon
Orbelín Pineda,0,0,1.0,0,0,18.0,46.0,4,0,4.0,2,3.0,0,0.0,Mexico
Osman Bukari,1,0,,0,0,14.0,29.0,3,0,0.0,1,1.0,0,1.0,Ghana
Otávio,0,0,3.0,0,0,98.0,145.0,3,0,7.0,6,3.0,0,1.0,Portugal
Ousmane Dembélé,0,2,6.0,1,0,144.0,241.0,8,2,11.0,6,6.0,0,0.0,France
Paik Seung-ho,1,0,,0,0,20.0,30.0,1,0,3.0,1,0.0,0,0.0,Korea Republic
Pape Abou Cissé,0,0,1.0,0,0,28.0,49.0,0,0,0.0,1,0.0,0,6.0,Senegal
Pape Gueye,0,0,1.0,0,0,45.0,81.0,4,0,4.0,3,3.0,0,2.0,Senegal
Pape Matar Sarr,0,0,,0,0,36.0,54.0,4,0,3.0,0,2.0,0,2.0,Senegal
Papu Gómez,0,0,2.0,0,0,53.0,69.0,2,1,2.0,1,1.0,0,0.0,Argentina
Pathé Ciss,0,0,2.0,1,0,46.0,74.0,1,0,3.0,4,1.0,0,4.0,Senegal
Pau Torres,0,0,1.0,0,0,174.0,194.0,0,0,0.0,1,0.0,0,2.0,Spain
Paulo Dybala,0,0,,0,0,8.0,20.0,0,0,3.0,1,1.0,0,1.0,Argentina
Pedri,0,0,4.0,0,0,393.0,462.0,0,0,4.0,2,5.0,0,3.0,Spain
Pedro,0,0,,0,0,10.0,25.0,4,0,2.0,2,1.0,0,0.0,Brazil
Pepe,1,0,4.0,0,0,243.0,330.0,3,1,5.0,3,1.0,0,11.0,Portugal
Pervis Estupiñán,0,0,3.0,0,0,148.0,217.0,1,2,6.0,8,4.0,0,6.0,Ecuador
Phil Foden,1,2,3.0,0,0,90.0,143.0,6,0,1.0,2,1.0,0,0.0,England
Piero Hincapié,0,0,3.0,0,0,168.0,227.0,0,0,7.0,5,0.0,0,9.0,Ecuador
Pierre Højbjerg,0,0,3.0,0,0,200.0,249.0,2,0,4.0,0,2.0,0,6.0,Denmark
Pierre Kunde,0,0,2.0,1,0,38.0,70.0,5,0,4.0,3,3.0,0,4.0,Cameroon
