player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Andrés Guardado,0,0,1.0,0,0,11.0,22.0,0,0,4.0,1,1.0,0,1.0,Mexico
Anis Ben Slimane,0,0,2.0,0,0,29.0,72.0,1,0,3.0,0,11.0,0,1.0,Tunisia
Ansu Fati,0,0,,0,0,25.0,33.0,0,0,1.0,0,0.0,0,0.0,Spain
Ante Budimir,0,0,,0,0,2.0,12.0,1,0,1.0,4,1.0,0,1.0,Croatia
Anthony Contreras,0,0,2.0,1,0,15.0,38.0,0,0,5.0,1,7.0,0,0.0,Costa Rica
Antoine Griezmann,0,3,6.0,1,0,258.0,381.0,6,3,14.0,3,8.0,0,7.0,France
Antoine Semenyo,0,0,,0,0,1.0,6.0,1,1,0.0,0,1.0,0,0.0,Ghana
Antonee Robinson,0,0,4.0,0,0,173.0,288.0,0,1,5.0,2,3.0,0,8.0,United States
Antonio Rüdiger,0,0,3.0,0,0,229.0,273.0,6,1,2.0,0,0.0,0,5.0,Germany
Antony,0,0,1.0,0,0,86.0,145.0,6,0,3.0,2,6.0,0,1.0,Brazil
António Silva,0,0,1.0,0,0,60.0,67.0,0,0,1.0,2,0.0,0,1.0,Portugal
Ao Tanaka,1,0,2.0,0,0,48.0,84.0,1,0,3.0,1,1.0,0,2.0,Japan
Arkadiusz Milik,0,0,1.0,1,0,19.0,39.0,1,1,0.0,1,1.0,0,0.0,Poland
Artur Jędrzejczyk,0,0,,0,0,3.0,5.0,0,0,0.0,0,0.0,0,1.0,Poland
Assim Madibo,0,0,2.0,1,0,58.0,85.0,0,0,6.0,1,2.0,0,0.0,Qatar
Atiba Hutchinson,0,0,2.0,0,0,100.0,131.0,2,0,4.0,2,2.0,0,3.0,Canada
Aurélien Tchouaméni,1,0,7.0,1,0,426.0,533.0,6,0,11.0,8,0.0,0,6.0,France
Awer Mabil,0,0,,0,0,10.0,18.0,0,0,0.0,0,0.0,0,0.0,Australia
Axel Disasi,0,0,1.0,0,0,61.0,90.0,1,0,3.0,0,1.0,0,4.0,France
Axel Witsel,0,0,3.0,0,0,169.0,200.0,1,0,4.0,5,3.0,0,6.0,Belgium
Ayase Ueda,0,0,1.0,0,0,7.0,23.0,0,0,0.0,1,2.0,0,2.0,Japan
Aymeric Laporte,0,0,3.0,1,0,413.0,456.0,1,0,2.0,3,0.0,0,7.0,Spain
Aziz Behich,0,0,4.0,1,0,152.0,249.0,2,0,8.0,3,5.0,0,12.0,Australia
Azzedine Ounahi,0,0,6.0,1,0,216.0,328.0,6,1,9.0,3,7.0,0,2.0,Morocco
Aïssa Laïdouni,0,1,3.0,1,0,99.0,156.0,2,0,3.0,3,3.0,0,6.0,Tunisia
Baba Rahman,0,0,2.0,0,0,66.0,121.0,0,0,5.0,7,0.0,0,3.0,Ghana
Badr Banoun,0,0,,0,0,21.0,28.0,0,0,0.0,2,1.0,0,3.0,Morocco
Bailey Wright,0,0,,0,0,1.0,5.0,0,0,0.0,0,0.0,0,2.0,Australia
Bamba Dieng,1,0,,0,0,9.0,32.0,4,0,2.0,5,4.0,0,0.0,Senegal
Bartosz Bereszyński,0,0,4.0,1,0,122.0,197.0,0,0,6.0,5,3.0,0,17.0,Poland
Bassam Al-Rawi,0,0,1.0,0,0,47.0,68.0,0,0,0.0,1,1.0,0,7.0,Qatar
Ben Davies,0,0,3.0,0,0,122.0,184.0,3,0,4.0,1,0.0,0,8.0,Wales
Benjamin Pavard,0,0,1.0,0,0,82.0,94.0,0,0,0.0,0,0.0,0,0.0,France
Bernardo Silva,0,0,4.0,0,0,256.0,309.0,1,0,2.0,1,4.0,0,0.0,Portugal
Bilal El Khannous,0,0,1.0,0,0,20.0,29.0,0,0,0.0,0,0.0,0,2.0,Morocco
Borna Barišić,0,0,1.0,1,0,50.0,81.0,1,0,1.0,5,0.0,0,4.0,Croatia
Borna Sosa,0,0,5.0,0,0,220.0,333.0,2,0,14.0,4,3.0,0,18.0,Croatia
Boualem Khoukhi,0,0,3.0,0,0,169.0,232.0,0,0,2.0,1,1.0,0,18.0,Qatar
Boulaye Dia,1,0,4.0,1,0,39.0,81.0,8,2,1.0,3,8.0,0,3.0,Senegal
Brandon Aguilera,0,0,1.0,0,0,27.0,44.0,0,1,2.0,2,3.0,0,0.0,Costa Rica
